Date,Revenue,EBIT,Net Income,Total Debt,Net Debt,Share Issued,Equity,Free Cash Flow,Ticker,Price,Sector,Industry,Market Cap,Enterprice Value,PER,EV/EBIT,EV/FCF,Net Profit Margin,ROIC
2022-12-30,5600000.0,-822000.0,-3460000.0,1396000.0,0.0,1275128.57,8239000.0,-186000.0,SHOP,34.32,Technology,Software - Application,43762412.5224,45158412.5224,0.0,0.0,0.0,-0.6178571428571429,0.0
2021-12-31,4611856.0,268643.0,2914659.0,1173487.0,0.0,1258971.59,11133341.0,484923.0,SHOP,139.99,Technology,Software - Application,176243432.88410002,177416919.88410002,60.4679425222985,660.4189198456688,365.8661682042304,0.6319926294316215,0.02182877667584206
2024-01-31,34857000.0,5999000.0,4136000.0,12588000.0,954000.0,1035000.0,59646000.0,9498000.0,CRM,283.24,Technology,Software - Application,293153400.0,294107400.0,70.87848162475822,49.026071011835306,30.965192672141505,0.11865622400091803,0.098993399339934
2023-01-31,31352000.0,1858000.0,208000.0,14088000.0,3585000.0,1009000.0,58359000.0,6313000.0,CRM,163.81,Technology,Software - Application,165284290.0,168869290.0,794.6360096153846,90.8876695371367,26.74945192460003,0.006634345496300076,0.02999483404365233
2022-01-31,26492000.0,548000.0,1444000.0,13985000.0,5132000.0,989000.0,58131000.0,5283000.0,CRM,222.31,Technology,Software - Application,219864590.0,224996590.0,152.26079639889196,410.5777189781022,42.588792352829834,0.054507020987467916,0.008662251236899926
2021-01-29,21252000.0,455000.0,4072000.0,6281000.0,0.0,919000.0,41493000.0,4091000.0,CRM,224.02,Technology,Software - Application,205874380.0,212155380.0,50.55854125736739,466.2755604395604,51.85905157663163,0.19160549595332205,0.009524008875120359
2023-12-29,9917000.0,1518000.0,4792000.0,2304000.0,0.0,638000.0,8165000.0,3884000.0,ABNB,136.71,Consumer Cyclical,Travel Services,87220980.0,89524980.0,18.201373121869782,58.97561264822134,23.04968589083419,0.483210648381567,0.1449995223994651
2022-12-30,8399000.0,1891000.0,1893000.0,2341000.0,0.0,640000.0,5560000.0,3430000.0,ABNB,83.61,Consumer Cyclical,Travel Services,53510400.0,55851400.0,28.267511885895406,29.53537810682179,16.283206997084548,0.2253839742826527,0.23933679281103656
2021-12-31,5992000.0,542000.0,-352000.0,2418000.0,0.0,642724.0,4775000.0,2313000.0,ABNB,168.78,Consumer Cyclical,Travel Services,108478956.72,110896956.72,0.0,204.60693121771217,47.94507424124514,-0.05874499332443257,0.07535103572918114
2023-12-29,21365000.0,5835000.0,4289000.0,14783000.0,2077000.0,64048.0,-2744000.0,6999000.0,BKNG,3539.95,Consumer Cyclical,Travel Services,226726717.6,228803717.6,52.86237295406855,39.21229093401885,32.6909155022146,0.2007488883688275,0.0
